# Results for training distributions calculated by paper2_02_distributions.m 
# --> table in appendix of paper2 
# 
# Date: 20-Dec-2021 
# 
# Comparison of categories: high,high+cond (findings) 
# Tick mode: 2 (exact choice of categories) 
# Log-likelihood normalization: cat 
# Cross validation: 1 
# 
# m = 1: cafpas (N_m = 142  143  142  143  149  149  147  135  149  149) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           3       cafpas         beta         high          135        0.285          nan        0.108          nan        1.000          nan        -3.78        -3.85 
           3       cafpas         beta    high+cond           14        0.292          nan        0.128          nan        1.000          nan        -3.93        -3.85 

# m = 4: cafpas (N_m = 149  149  149  149  149  149  149  149  149  149) 
# 
# Parameter 1 CA1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.172          nan        0.113          nan        1.000          nan        -3.72        -4.06 
           4       cafpas         beta    high+cond           14        0.352          nan        0.215          nan        1.000          nan        -4.39        -4.06 
# 
# Parameter 2 CA2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.242          nan        0.134          nan        1.000          nan        -3.94        -4.15 
           4       cafpas         beta    high+cond           14        0.383          nan        0.197          nan        1.000          nan        -4.35        -4.15 
# 
# Parameter 3 CA3 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.435          nan        0.151          nan        1.000          nan        -4.12        -4.19 
           4       cafpas         beta    high+cond           14        0.493          nan        0.173          nan        1.000          nan        -4.26        -4.19 
# 
# Parameter 4 CA4 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.639          nan        0.133          nan        1.000          nan        -3.99        -4.07 
           4       cafpas         beta    high+cond           14        0.652          nan        0.158          nan        1.000          nan        -4.15        -4.07 
# 
# Parameter 5 CU1 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.277          nan        0.122          nan        1.000          nan        -3.89        -3.91 
           4       cafpas         beta    high+cond           14        0.331          nan        0.126          nan        1.000          nan        -3.94        -3.91 
# 
# Parameter 6 CU2 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.408          nan        0.120          nan        1.000          nan        -3.90        -3.88 
           4       cafpas         beta    high+cond           14        0.431          nan        0.116          nan        1.000          nan        -3.86        -3.88 
# 
# Parameter 7 CB 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.270          nan        0.092          nan        1.000          nan        -3.62        -3.75 
           4       cafpas         beta    high+cond           14        0.349          nan        0.119          nan        1.000          nan        -3.88        -3.75 
# 
# Parameter 8 CN 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.260          nan        0.086          nan        1.000          nan        -3.55        -3.67 
           4       cafpas         beta    high+cond           14        0.313          nan        0.110          nan        1.000          nan        -3.80        -3.67 
# 
# Parameter 9 CC 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.155          nan        0.082          nan        1.000          nan        -3.45        -3.50 
           4       cafpas         beta    high+cond           14        0.176          nan        0.090          nan        1.000          nan        -3.55        -3.50 
# 
# Parameter 10 CE 
#            m         meas         dist     category            N           mu          mu2          sig         sig2            w           w2       logcat       logsum
           4       cafpas         beta         high          135        0.286          nan        0.116          nan        1.000          nan        -3.85        -3.84 
           4       cafpas         beta    high+cond           14        0.318          nan        0.114          nan        1.000          nan        -3.84        -3.84 

